Number,Level/Layer,Parameter,Forecast Valid,Description
1,50 mb,HGT,2 hour fcst,Geopotential Height [gpm]
2,50 mb,TMP,2 hour fcst,Temperature [K]
3,50 mb,RH,2 hour fcst,Relative Humidity [%]
4,50 mb,DPT,2 hour fcst,Dew Point Temperature [K]
5,50 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
6,50 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
7,50 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
8,50 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
9,50 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
10,50 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
11,50 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
12,50 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
13,50 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
14,50 mb,GRLE,2 hour fcst,Graupel [kg/kg]
15,75 mb,HGT,2 hour fcst,Geopotential Height [gpm]
16,75 mb,TMP,2 hour fcst,Temperature [K]
17,75 mb,RH,2 hour fcst,Relative Humidity [%]
18,75 mb,DPT,2 hour fcst,Dew Point Temperature [K]
19,75 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
20,75 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
21,75 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
22,75 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
23,75 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
24,75 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
25,75 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
26,75 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
27,75 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
28,75 mb,GRLE,2 hour fcst,Graupel [kg/kg]
29,100 mb,HGT,2 hour fcst,Geopotential Height [gpm]
30,100 mb,TMP,2 hour fcst,Temperature [K]
31,100 mb,RH,2 hour fcst,Relative Humidity [%]
32,100 mb,DPT,2 hour fcst,Dew Point Temperature [K]
33,100 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
34,100 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
35,100 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
36,100 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
37,100 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
38,100 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
39,100 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
40,100 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
41,100 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
42,100 mb,GRLE,2 hour fcst,Graupel [kg/kg]
43,125 mb,HGT,2 hour fcst,Geopotential Height [gpm]
44,125 mb,TMP,2 hour fcst,Temperature [K]
45,125 mb,RH,2 hour fcst,Relative Humidity [%]
46,125 mb,DPT,2 hour fcst,Dew Point Temperature [K]
47,125 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
48,125 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
49,125 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
50,125 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
51,125 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
52,125 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
53,125 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
54,125 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
55,125 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
56,125 mb,GRLE,2 hour fcst,Graupel [kg/kg]
57,150 mb,HGT,2 hour fcst,Geopotential Height [gpm]
58,150 mb,TMP,2 hour fcst,Temperature [K]
